locus,ratio,std,revRatio,revStd,weightRatio,pepNum,pepNumTotal,specCount,compositeRatio,desc
Q9D287,0.47479,0.9671,1.06384,0.57078,0.64477,29,29,81,0.58797,Pre-mRNA-splicing factor SPF27 OS=Mus musculus GN=Bcas2 PE=2 SV=1
Q9WVA4,0.88538,0.54785,0.97289,0.32071,0.83785,22,22,47,0.80138,Transgelin-2 OS=Mus musculus GN=Tagln2 PE=1 SV=4
P53996,0.77964,0.19697,0.8905,0.13001,0.84611,41,41,171,0.9261,Cellular nucleic acid-binding protein OS=Mus musculus GN=Cnbp PE=1 SV=2
Q91VJ5,0.58845,-1,0.9643,-1,0.78066,44,44,84,0.78278,Polyglutamine-binding protein 1 OS=Mus musculus GN=Pqbp1 PE=2 SV=1
Q6NZB0,0.32661,-1,0.92187,-1,0.51597,79,79,188,0.62482,DnaJ homolog subfamily C member 8 OS=Mus musculus GN=Dnajc8 PE=2 SV=2
Q9Z2D8,0.6307,-1,1.26482,-1,0.70596,64,64,97,0.75716,Methyl-CpG-binding domain protein 3 OS=Mus musculus GN=Mbd3 PE=1 SV=1
P43274,2.28091,-1,0.22053,-1,4.09604,99,99,209,3.75904,Histone H1.4 OS=Mus musculus GN=Hist1h1e PE=1 SV=2
O55142,0.20687,-1,0.81896,-1,0.37817,12,12,26,0.56725,60S ribosomal protein L35a OS=Mus musculus GN=Rpl35a PE=1 SV=2
Q9D735,0.67435,0.18624,1.00704,0.24112,0.76682,16,16,62,0.82063,Uncharacterized protein C19orf43 homolog OS=Mus musculus PE=1 SV=1
Q9D1J3,0.50148,0.20883,1.0812,0.4804,0.62296,85,85,379,0.77674,SAP domain-containing ribonucleoprotein OS=Mus musculus GN=Sarnp PE=1 SV=3
P84244,0.89521,-1,0.79823,-1,1.023,100,100,961,1.14765,Histone H3.3 OS=Mus musculus GN=H3f3a PE=1 SV=2
Q9JHS9,0.58677,-1,1.04334,-1,0.61828,47,47,248,0.76513,Spliceosome-associated protein CWC15 homolog OS=Mus musculus GN=Cwc15 PE=1 SV=1
P62983,0.7947,-1,0.80494,-1,1.10087,67,67,187,1.20438,Ubiquitin-40S ribosomal protein S27a OS=Mus musculus GN=Rps27a PE=1 SV=2
P57776,0.52945,-1,1.48849,-1,0.57415,74,74,121,0.61116,Elongation factor 1-delta OS=Mus musculus GN=Eef1d PE=1 SV=3
Q9CXL3,0.5065,0.15788,0.98069,0.41286,0.59636,19,19,40,0.91949,Uncharacterized protein C7orf50 homolog OS=Mus musculus PE=1 SV=3
Q69ZQ2,0.58867,-1,1.07415,-1,0.6876,45,45,67,0.78073,Pre-mRNA-splicing factor ISY1 homolog OS=Mus musculus GN=Isy1 PE=1 SV=2
P62858,0.58384,-1,0.05337,-1,1.06928,3,3,4,5.05331,40S ribosomal protein S28 OS=Mus musculus GN=Rps28 PE=2 SV=1
P14733,0.45809,-1,1.50307,-1,0.49198,127,127,346,0.52803,Lamin-B1 OS=Mus musculus GN=Lmnb1 PE=1 SV=3
Q61686,0.41833,-1,0.75493,-1,1.12256,64,64,331,0.81639,Chromobox protein homolog 5 OS=Mus musculus GN=Cbx5 PE=1 SV=1
P62827,0.36123,-1,1.27263,-1,0.45377,19,19,35,0.50764,GTP-binding nuclear protein Ran OS=Mus musculus GN=Ran PE=1 SV=3
Q9CQV8,0.45388,-1,1.0139,-1,0.5262,24,24,35,0.6292,14-3-3 protein beta/alpha OS=Mus musculus GN=Ywhab PE=1 SV=3
"P10854,P10853,Q8CGP2,Q6ZWY9,Q64478,Q64475",0.36681,-1,0.80947,-1,0.68667,67,67,240,0.65369,Histone H2B type 1-M OS=Mus musculus GN=Hist1h2bm PE=1 SV=2 @Histone H2B type 1-F/J/L OS=Mus musculus GN=Hist1h2bf PE=1 SV=2 @Histone H2B type 1-P OS=Mus musculus GN=Hist1h2bp PE=1 SV=3 @Histone H2B type 1-C/E/G OS=Mus musculus GN=Hist1h2bc PE=1 SV=3 @Histone H2B type 1-H OS=Mus musculus GN=Hist1h2bh PE=1 SV=3 @Histone H2B type 1-B OS=Mus musculus GN=Hist1h2bb PE=1 SV=3
Q8CGP1,0.59296,-1,0.94516,-1,0.78766,30,30,67,0.97135,Histone H2B type 1-K OS=Mus musculus GN=Hist1h2bk PE=1 SV=3
P0C0S6,1.00425,-1,0.80193,-1,1.19194,22,22,35,1.17338,Histone H2A.Z OS=Mus musculus GN=H2afz PE=1 SV=2
contaminant_GR78_PIG,0.3075,-1,0.71314,-1,0.66882,19,19,44,0.72012,owl|P34935| 78 KD GLUCOSE REGULATED PROTEIN (GRP 78) (IMMUNOGLOBULIN HEAVY...
Q05816,0.58018,0.09662,1.24974,0.53099,0.61571,8,8,8,0.66181,"Fatty acid-binding protein, epidermal OS=Mus musculus GN=Fabp5 PE=1 SV=3"
P08249,-1,-1,-1,-1,0.69165,61,61,83,0.71954,"Malate dehydrogenase, mitochondrial OS=Mus musculus GN=Mdh2 PE=1 SV=3"
P15864,2.50899,-1,0.20276,-1,4.74212,134,134,322,4.25443,Histone H1.2 OS=Mus musculus GN=Hist1h1c PE=1 SV=2
O88569,0.66947,-1,0.84041,-1,0.86707,167,167,2567,0.82198,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Mus musculus GN=Hnrnpa2b1 PE=1 SV=2
Q8BMJ3,0.72864,-1,1.12692,-1,0.74307,22,22,34,0.7624,"Eukaryotic translation initiation factor 1A, X-chromosomal OS=Mus musculus GN=Eif1ax PE=2 SV=3"
Q9Z130,0.72018,-1,1.21995,-1,0.7582,64,64,123,0.82261,Heterogeneous nuclear ribonucleoprotein D-like OS=Mus musculus GN=Hnrnpdl PE=1 SV=1
P62754,0.89532,-1,0.57634,-1,1.18166,22,22,29,1.23588,40S ribosomal protein S6 OS=Mus musculus GN=Rps6 PE=1 SV=1
"P63260,P60710",0.51448,-1,1.39677,-1,0.59524,217,217,978,0.64607,"Actin, cytoplasmic 2 OS=Mus musculus GN=Actg1 PE=1 SV=1 @Actin, cytoplasmic 1 OS=Mus musculus GN=Actb PE=1 SV=1"
Q9CXW4,0.61142,-1,0.72689,-1,0.92559,24,24,50,0.9035,60S ribosomal protein L11 OS=Mus musculus GN=Rpl11 PE=1 SV=4
P43276,2.66319,-1,0.18977,-1,5.86122,106,106,218,4.38939,Histone H1.5 OS=Mus musculus GN=Hist1h1b PE=1 SV=2
P02301,0.98408,-1,0.83976,-1,1.04868,86,86,483,1.1661,Histone H3.3C OS=Mus musculus GN=H3f3c PE=3 SV=3
P62305,0.43055,0.09528,2.12042,0.47161,0.43039,12,12,16,0.50026,Small nuclear ribonucleoprotein E OS=Mus musculus GN=Snrpe PE=2 SV=1
Q8BG05,0.60343,-1,1.17302,-1,0.68148,177,177,296,0.77378,Heterogeneous nuclear ribonucleoprotein A3 OS=Mus musculus GN=Hnrnpa3 PE=1 SV=1
Q9JMG1,0.57394,0.33927,0.81666,0.43052,0.72433,15,15,33,0.92252,Endothelial differentiation-related factor 1 OS=Mus musculus GN=Edf1 PE=1 SV=1
P48678,-1,-1,-1,-1,0.48753,277,277,1173,0.54067,Prelamin-A/C OS=Mus musculus GN=Lmna PE=1 SV=2
P62274,1.4191,0.36494,0.45059,0.14517,1.53693,6,6,12,1.60503,40S ribosomal protein S29 OS=Mus musculus GN=Rps29 PE=2 SV=2
Q8R081,0.7011,0.21327,1.15446,0.34475,0.76026,107,107,266,0.80437,Heterogeneous nuclear ribonucleoprotein L OS=Mus musculus GN=Hnrnpl PE=1 SV=2
Q922M7,0.67085,0.15705,1.28616,0.13751,0.71865,7,7,21,0.72809,Ashwin OS=Mus musculus PE=1 SV=1
Q8CCI5,0.49678,0.14564,1.43698,0.42628,0.51657,34,34,41,0.56509,RING1 and YY1-binding protein OS=Mus musculus GN=Rybp PE=1 SV=1
Q9CQS2,0.64835,0.33278,1.09381,0.63164,0.7319,5,5,7,0.92446,H/ACA ribonucleoprotein complex subunit 3 OS=Mus musculus GN=Nop10 PE=3 SV=1
Q64012,0.69842,-1,0.89932,-1,0.74738,31,31,34,0.79466,RNA-binding protein Raly OS=Mus musculus GN=Raly PE=1 SV=3
P60898,0.37736,0.18464,0.93462,0.34156,0.59089,4,4,8,0.75574,DNA-directed RNA polymerase II subunit RPB9 OS=Mus musculus GN=Polr2i PE=2 SV=1
Q99020,0.59023,-1,1.09329,-1,0.68102,116,116,612,0.71225,Heterogeneous nuclear ribonucleoprotein A/B OS=Mus musculus GN=Hnrnpab PE=1 SV=1
Q9CRB9,0.32868,0.16388,1.48095,0.44671,0.38993,42,42,176,0.49081,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial OS=Mus musculus GN=Chchd3 PE=1 SV=1"
P63013,2.0316,0.24781,0.3783,0.0758,2.10948,10,10,11,2.45316,Paired mesoderm homeobox protein 1 OS=Mus musculus GN=Prrx1 PE=1 SV=1
Q61033,0.47594,-1,1.22304,-1,0.75711,73,73,184,0.569,"Lamina-associated polypeptide 2, isoforms alpha/zeta OS=Mus musculus GN=Tmpo PE=1 SV=4"
P97314,0.2882,0.15756,0.98041,0.70218,0.407,9,9,16,0.67064,Cysteine and glycine-rich protein 2 OS=Mus musculus GN=Csrp2 PE=1 SV=3
P61982,0.41057,-1,1.30552,-1,0.57304,28,28,62,0.62215,14-3-3 protein gamma OS=Mus musculus GN=Ywhag PE=1 SV=2
Q9CY58,0.95155,-1,0.87498,-1,1.04801,62,62,193,1.13872,Plasminogen activator inhibitor 1 RNA-binding protein OS=Mus musculus GN=Serbp1 PE=1 SV=2
P21619,0.5106,-1,0.95522,-1,0.62621,73,73,220,0.68039,Lamin-B2 OS=Mus musculus GN=Lmnb2 PE=1 SV=2
P58774,0.68157,-1,1.01405,-1,0.74675,136,136,725,0.84544,Tropomyosin beta chain OS=Mus musculus GN=Tpm2 PE=1 SV=1
Q60605,0.50153,0.19822,1.39851,0.50699,0.59979,23,23,68,0.79438,Myosin light polypeptide 6 OS=Mus musculus GN=Myl6 PE=1 SV=3
Q501J6,0.94075,-1,0.91907,-1,0.96632,72,72,108,0.98614,Probable ATP-dependent RNA helicase DDX17 OS=Mus musculus GN=Ddx17 PE=2 SV=1
P83917,0.68622,-1,1.33492,-1,0.70074,35,35,144,0.90856,Chromobox protein homolog 1 OS=Mus musculus GN=Cbx1 PE=1 SV=1
Q64524,0.49715,-1,0.97042,-1,0.61219,23,23,56,0.9036,Histone H2B type 2-E OS=Mus musculus GN=Hist2h2be PE=1 SV=3
"Q9D2U9,Q8CGP0",0.32417,-1,0.80304,-1,0.57787,60,60,229,0.65081,Histone H2B type 3-A OS=Mus musculus GN=Hist3h2ba PE=1 SV=3 @Histone H2B type 3-B OS=Mus musculus GN=Hist3h2bb PE=1 SV=3
Q9D1R9,0.78571,-1,0.64944,-1,0.87618,19,19,28,1.12974,60S ribosomal protein L34 OS=Mus musculus GN=Rpl34 PE=1 SV=2
O35143,0.42308,-1,0.74279,-1,0.52469,5,5,9,0.73775,"ATPase inhibitor, mitochondrial OS=Mus musculus GN=Atpif1 PE=1 SV=2"
P63017,0.45902,-1,1.19168,-1,0.5389,137,137,552,0.59126,Heat shock cognate 71 kDa protein OS=Mus musculus GN=Hspa8 PE=1 SV=1
"P68134,P68033",0.44714,-1,1.36752,-1,0.56755,152,152,742,0.60221,"Actin, alpha skeletal muscle OS=Mus musculus GN=Acta1 PE=1 SV=1 @Actin, alpha cardiac muscle 1 OS=Mus musculus GN=Actc1 PE=1 SV=1"
P17751,0.5723,0.13544,1.51584,0.23293,0.60401,21,21,48,0.67571,Triosephosphate isomerase OS=Mus musculus GN=Tpi1 PE=1 SV=4
Q60872,0.74786,-1,1.11976,-1,0.75089,21,21,33,0.7624,Eukaryotic translation initiation factor 1A OS=Mus musculus GN=Eif1a PE=2 SV=3
Q9D7M8,0.67704,0.13895,1.31076,0.16572,0.70715,4,4,5,0.62516,DNA-directed RNA polymerase II subunit RPB4 OS=Mus musculus GN=Polr2d PE=2 SV=2
Q9CX86,0.43143,-1,1.04972,-1,0.62245,82,82,220,0.761,Heterogeneous nuclear ribonucleoprotein A0 OS=Mus musculus GN=Hnrnpa0 PE=1 SV=1
Q9CSU0,0.45223,-1,1.08563,-1,0.55198,7,7,8,0.52906,Regulation of nuclear pre-mRNA domain-containing protein 1B OS=Mus musculus GN=Rprd1b PE=1 SV=2
P47757,0.52753,-1,1.35711,-1,0.58689,46,46,64,0.66238,F-actin-capping protein subunit beta OS=Mus musculus GN=Capzb PE=1 SV=3
Q62318,0.51449,0.23059,1.06176,0.41745,0.68645,50,50,131,0.73689,Transcription intermediary factor 1-beta OS=Mus musculus GN=Trim28 PE=1 SV=3
P62259,0.39908,-1,1.14225,-1,0.54061,31,31,36,0.60055,14-3-3 protein epsilon OS=Mus musculus GN=Ywhae PE=1 SV=1
Q9CQU1,0.32135,-1,0.82977,-1,0.54894,43,43,84,0.69789,Microfibrillar-associated protein 1 OS=Mus musculus GN=Mfap1 PE=1 SV=1
O54879,0.45345,0.29052,0.71345,0.24914,0.75659,27,27,154,0.80657,High mobility group protein B3 OS=Mus musculus GN=Hmgb3 PE=2 SV=3
P97304,0.70238,0.16237,1.25694,0.11097,0.75349,6,6,8,0.97065,DNA-directed RNA polymerases I and III subunit RPAC2 OS=Mus musculus GN=Polr1d PE=2 SV=1
P61979,0.67887,0.16477,1.18466,0.28392,0.74332,111,111,309,0.8017,Heterogeneous nuclear ribonucleoprotein K OS=Mus musculus GN=Hnrnpk PE=1 SV=1
P70296,0.61241,0.18761,1.26834,0.69858,0.5907,2,2,2,0.83741,Phosphatidylethanolamine-binding protein 1 OS=Mus musculus GN=Pebp1 PE=1 SV=3
P08207,0.16074,0.27927,0.81768,0.66669,0.56306,3,3,6,0.48805,Protein S100-A10 OS=Mus musculus GN=S100a10 PE=1 SV=2
P70460,0.86002,17.24534,0.82798,0.22082,2.41027,36,36,89,0.96713,Vasodilator-stimulated phosphoprotein OS=Mus musculus GN=Vasp PE=1 SV=4
P62960,1.25361,0.66965,0.31159,0.17323,1.75977,34,34,108,1.96615,Nuclease-sensitive element-binding protein 1 OS=Mus musculus GN=Ybx1 PE=1 SV=3
Q3UL36,0.57001,-1,0.89428,-1,0.7205,85,85,170,0.81789,Arginine and glutamate-rich protein 1 OS=Mus musculus GN=Arglu1 PE=1 SV=2
Q9WTP6,0.47353,-1,0.96634,-1,0.69251,10,10,10,0.80296,"Adenylate kinase 2, mitochondrial OS=Mus musculus GN=Ak2 PE=1 SV=5"
Q7TPR4,0.36331,-1,2.04793,-1,0.40078,43,43,103,0.45231,Alpha-actinin-1 OS=Mus musculus GN=Actn1 PE=1 SV=1
P47963,0.75279,0.19449,1.04312,0.26117,0.80249,44,44,132,0.93752,60S ribosomal protein L13 OS=Mus musculus GN=Rpl13 PE=2 SV=3
"contaminant_GR78_RAT,contaminant_GR78_MOUSE,P20029",0.46689,-1,1.24239,-1,0.56415,72,72,113,0.67922,owl|P06761| 78 KD GLUCOSE REGULATED PROTEIN PRECURSOR (GRP 78) (IMMUNOGLOBULIN... @owl|P20029| 78 KD GLUCOSE REGULATED PROTEIN PRECURSOR (GRP 78) (IMMUNOGLOBULIN... @78 kDa glucose-regulated protein OS=Mus musculus GN=Hspa5 PE=1 SV=3
Q9CPV5,0.35118,0.20127,1.68906,1.22694,0.59249,10,10,10,0.80175,Polyamine-modulated factor 1 OS=Mus musculus GN=Pmf1 PE=1 SV=1
P59708,1.24718,-1,0.69176,-1,1.32515,5,5,5,1.5079,Pre-mRNA branch site protein p14 OS=Mus musculus GN=Sf3b14 PE=1 SV=1
Q3U0V1,0.63451,-1,1.30063,-1,0.66283,150,150,342,0.74214,Far upstream element-binding protein 2 OS=Mus musculus GN=Khsrp PE=1 SV=2
Q60598,0.6983,-1,0.91673,-1,0.86185,53,53,150,0.95232,Src substrate cortactin OS=Mus musculus GN=Cttn PE=1 SV=2
Q9D198,0.46876,-1,0.90461,-1,0.58741,20,20,44,0.8379,Pre-mRNA-splicing factor SYF2 OS=Mus musculus GN=Syf2 PE=2 SV=1
Q8BGD9,0.50727,-1,0.99378,-1,0.65749,80,80,374,0.71938,Eukaryotic translation initiation factor 4B OS=Mus musculus GN=Eif4b PE=1 SV=1
A2APB8,0.38384,-1,1.1452,-1,0.53911,75,75,152,0.72013,Targeting protein for Xklp2 OS=Mus musculus GN=Tpx2 PE=1 SV=1
P29595,0.67084,-1,0.91302,-1,0.30189,3,3,16,0.46914,NEDD8 OS=Mus musculus GN=Nedd8 PE=1 SV=2
P11031,0.34788,0.31908,0.83272,0.41169,0.75119,4,4,4,0.66049,Activated RNA polymerase II transcriptional coactivator p15 OS=Mus musculus GN=Sub1 PE=1 SV=3
P57780,0.43494,-1,1.57238,-1,0.46499,72,72,189,0.49135,Alpha-actinin-4 OS=Mus musculus GN=Actn4 PE=1 SV=1
Q6P8I4,0.39629,-1,1.11079,-1,0.42337,14,14,42,0.60116,PEST proteolytic signal-containing nuclear protein OS=Mus musculus GN=Pcnp PE=1 SV=1
Q61792,0.58688,0.17123,0.98964,0.34814,0.69125,33,33,85,0.83914,LIM and SH3 domain protein 1 OS=Mus musculus GN=Lasp1 PE=1 SV=1
P38647,0.60692,-1,1.12117,-1,0.67031,60,60,213,0.68054,"Stress-70 protein, mitochondrial OS=Mus musculus GN=Hspa9 PE=1 SV=3"
Q6NZF1,0.34973,-1,1.24631,-1,0.51279,46,46,109,0.59685,Zinc finger CCCH domain-containing protein 11A OS=Mus musculus GN=Zc3h11a PE=2 SV=1
P10711,0.28852,-1,0.66142,-1,0.61408,36,36,75,0.71895,Transcription elongation factor A protein 1 OS=Mus musculus GN=Tcea1 PE=1 SV=2
Q9CXI5,0.61263,-1,1.15002,-1,0.64127,22,22,54,0.78065,Mesencephalic astrocyte-derived neurotrophic factor OS=Mus musculus GN=Manf PE=1 SV=1
P14115,1.16517,1.64674,0.67101,0.3363,1.80456,7,7,8,1.19441,60S ribosomal protein L27a OS=Mus musculus GN=Rpl27a PE=2 SV=5
Q99K48,0.50862,-1,1.21336,-1,0.60692,124,124,287,0.67556,Non-POU domain-containing octamer-binding protein OS=Mus musculus GN=Nono PE=1 SV=3
Q8BGT7,0.3384,0.27328,0.89482,0.55812,0.57201,13,13,29,0.80784,Survival of motor neuron-related-splicing factor 30 OS=Mus musculus GN=Smndc1 PE=2 SV=1
P41105,0.26772,0.15998,1.0066,0.52898,0.43304,9,9,14,0.48045,60S ribosomal protein L28 OS=Mus musculus GN=Rpl28 PE=1 SV=2
Q922U1,0.46116,-1,1.19745,-1,0.56578,42,42,69,0.66646,U4/U6 small nuclear ribonucleoprotein Prp3 OS=Mus musculus GN=Prpf3 PE=2 SV=1
Q9CZX8,0.41692,0.50372,0.5033,0.796,1.12845,20,20,47,1.26021,40S ribosomal protein S19 OS=Mus musculus GN=Rps19 PE=1 SV=3
P17742,0.51746,-1,1.21817,-1,0.61971,23,23,85,0.65558,Peptidyl-prolyl cis-trans isomerase A OS=Mus musculus GN=Ppia PE=1 SV=2
Q8BMK4,0.56326,0.13393,1.44474,0.43231,0.59979,33,33,36,0.78567,Cytoskeleton-associated protein 4 OS=Mus musculus GN=Ckap4 PE=1 SV=2
P68037,0.73657,-1,1.23109,-1,0.68251,6,6,11,0.82708,Ubiquitin-conjugating enzyme E2 L3 OS=Mus musculus GN=Ube2l3 PE=2 SV=1
Q9WUK2,0.62314,0.23182,0.90153,0.30552,0.77258,49,49,221,0.85622,Eukaryotic translation initiation factor 4H OS=Mus musculus GN=Eif4h PE=1 SV=3
P62311,0.78935,0.08958,1.1865,0.10817,0.799,7,7,7,0.81986,U6 snRNA-associated Sm-like protein LSm3 OS=Mus musculus GN=Lsm3 PE=3 SV=2
Q9CQR2,0.51583,-1,0.66752,-1,0.52965,7,7,17,0.93011,40S ribosomal protein S21 OS=Mus musculus GN=Rps21 PE=2 SV=1
O54791,0.6884,0.51679,0.35981,0.24499,1.28183,7,7,13,1.28326,Transcription factor MafF OS=Mus musculus GN=Maff PE=2 SV=1
P62264,1.12401,0.1875,0.84345,0.22756,1.13967,23,23,52,1.22818,40S ribosomal protein S14 OS=Mus musculus GN=Rps14 PE=2 SV=3
Q9D823,0.43205,0.14336,0.59951,0.52878,0.48531,8,8,14,1.20631,60S ribosomal protein L37 OS=Mus musculus GN=Rpl37 PE=2 SV=3
Q8BQ30,0.68792,0.14779,1.14882,0.22522,0.74486,38,38,79,0.79943,Phostensin OS=Mus musculus GN=Ppp1r18 PE=1 SV=1
"Q8BFU2,P22752",1.15317,-1,0.50721,-1,2.17332,13,13,234,1.71385,Histone H2A type 3 OS=Mus musculus GN=Hist3h2a PE=1 SV=3 @Histone H2A type 1 OS=Mus musculus GN=Hist1h2ab PE=1 SV=3
Q9CQQ8,0.70651,0.15265,1.2692,0.08042,0.73398,2,2,2,0.84966,U6 snRNA-associated Sm-like protein LSm7 OS=Mus musculus GN=Lsm7 PE=3 SV=1
Q91WN1,0.45322,-1,1.48509,-1,0.48721,26,26,67,0.59553,DnaJ homolog subfamily C member 9 OS=Mus musculus GN=Dnajc9 PE=2 SV=2
P51859,0.46543,-1,1.21437,-1,0.51007,17,17,27,0.54746,Hepatoma-derived growth factor OS=Mus musculus GN=Hdgf PE=1 SV=2
Q9CSN1,0.39624,-1,0.878,-1,0.62034,72,72,221,0.69951,SNW domain-containing protein 1 OS=Mus musculus GN=Snw1 PE=1 SV=3
Q8R0A0,0.45334,0.10782,0.88238,0.40176,0.51004,12,12,59,0.63838,General transcription factor IIF subunit 2 OS=Mus musculus GN=Gtf2f2 PE=1 SV=1
