PLINE,LOCUS,AVERAGE_RATIO,AVERAGE_RATIO_REV,STANDARD_DEVIATION,STANDARD_DEVIATION_REV,COMPOSITE_RATIO,COMPOSITE_RATIO_STANDARD_DEVIATION,WEIGHTED_AVERAGE,LOG_INV_AVERAGE,LOG_INV_AVERAGE_REV,PEPTIDE_NUM,TOTAL_PEPTIDE_NUM,SPEC_COUNT,AREA_RATIO,DESCRIPTION
P,F8WGM8,0.51801,0.64326,NA,NA,0.90628,1.48484,0.73638,0.51801,0.64326,155,155,3248,1.051038005,"Actin, cytoplasmic 2 (Fragment) OS=Mus musculus OX=10090 GN=Actg1 PE=1 SV=1 "
P,A0A2I3BQF4,0.3372,0.48969,NA,NA,0.92279,1.36449,0.71184,0.3372,0.48969,50,50,155,0.975657881,60S ribosomal protein L30 OS=Mus musculus OX=10090 GN=Rpl30 PE=1 SV=1 
P,A0A2R8VI12,0.67923,0.86382,NA,NA,0.92595,1.27055,0.77337,0.67923,0.86382,74,74,283,0.907596452,Poly(rC)-binding protein 2 (Fragment) OS=Mus musculus OX=10090 GN=Pcbp2 PE=1 SV=1 
P,Q6PFB2,0.64943,0.84408,NA,NA,0.91325,1.37015,0.79604,0.64943,0.84408,110,110,353,0.947364551,Rcc1 protein OS=Mus musculus OX=10090 GN=Rcc1 PE=1 SV=1 
P,Q8VE37,0.64943,0.84408,�,�,0.91325,1.37015,0.79604,0.64943,0.84408,110,110,353,0.947364551,Regulator of chromosome condensation OS=Mus musculus OX=10090 GN=Rcc1 PE=1 SV=1 
P,A0A1B0GR89,0.45946,0.62085,0.25348,0.37947,0.83115,1.15349,0.73626,0.45946,0.62085,27,27,85,0.863662735,RuvB-like helicase (Fragment) OS=Mus musculus OX=10090 GN=Ruvbl2 PE=1 SV=1 
P,A0A087WRM5,0.82831,0.7515,NA,NA,1.24161,1.58653,0.9221,0.82831,0.7515,29,29,73,1.421266616,Nucleolin (Fragment) OS=Mus musculus OX=10090 GN=Ncl PE=1 SV=1 
P,J3QMX2,0.79538,0.71337,NA,NA,1.06341,1.43023,0.91246,0.79538,0.71337,33,33,70,1.095650209,Transportin-1 (Fragment) OS=Mus musculus OX=10090 GN=Tnpo1 PE=1 SV=1 
P,A0A140LIU3,0.98419,0.39674,0.58803,0.19929,1.57211,1.33956,1.61075,0.98419,0.39674,8,8,18,1.490209304,Cytochrome c oxidase subunit 6B1 OS=Mus musculus OX=10090 GN=Cox6b1 PE=1 SV=1 
P,P11983,0.67521,0.55437,NA,NA,1.1293,1.51182,0.89397,0.67521,0.55437,212,212,848,1.61513996,T-complex protein 1 subunit alpha OS=Mus musculus OX=10090 GN=Tcp1 PE=1 SV=3 
P,D6RJ72,0.65317,0.60474,0.27437,0.26353,1.0692,1.13638,0.88261,0.65317,0.60474,26,26,78,1.068785278,WD repeat-containing protein 61 (Fragment) OS=Mus musculus OX=10090 GN=Wdr61 PE=1 SV=1 
P,Q6ZWM4,0.78933,0.91302,0.26528,0.25005,0.89588,1.21195,0.92151,0.78933,0.91302,34,34,237,0.983464135,U6 snRNA-associated Sm-like protein LSm8 OS=Mus musculus OX=10090 GN=Lsm8 PE=1 SV=3 
P,F6WZH1,0.69864,0.66704,NA,NA,0.99042,1.45783,0.84594,0.69864,0.66704,49,49,113,1.190661277,Methyl-CpG-binding domain protein 3 (Fragment) OS=Mus musculus OX=10090 GN=Mbd3 PE=1 SV=1 
P,P63280,0.60708,0.8803,NA,NA,0.86054,1.27775,0.72285,0.60708,0.8803,44,44,88,0.889202608,SUMO-conjugating enzyme UBC9 OS=Mus musculus OX=10090 GN=Ube2i PE=1 SV=1 
P,Q9CQX4,0.48038,0.53018,NA,NA,0.98703,1.08633,0.81603,0.48038,0.53018,28,28,78,0.970958041,PCNA-associated factor OS=Mus musculus OX=10090 GN=Pclaf PE=1 SV=1 
P,P63087,0.61638,0.84125,NA,NA,0.8183,1.83065,0.76194,0.61638,0.84125,136,136,395,0.867925489,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Mus musculus OX=10090 GN=Ppp1cc PE=1 SV=1 
P,P11087,0.91552,0.74057,NA,NA,1.12546,1.41373,1.06962,0.91552,0.74057,526,526,1943,1.27829119,Collagen alpha-1(I) chain OS=Mus musculus OX=10090 GN=Col1a1 PE=1 SV=4 
P,Q5SQB0,0.6056,0.49469,NA,NA,1.1422,1.62041,1.01628,0.6056,0.49469,231,231,3555,1.427629253,Nucleophosmin OS=Mus musculus OX=10090 GN=Npm1 PE=1 SV=1 
P,P60710,0.5309,0.62252,NA,NA,0.95583,1.48328,0.84906,0.5309,0.62252,496,496,10382,1.111334745,"Actin, cytoplasmic 1 OS=Mus musculus OX=10090 GN=Actb PE=1 SV=1 "
P,A0A2R8VJY1,0.66634,0.84419,NA,NA,0.93993,1.28148,0.78217,0.66634,0.84419,65,65,267,0.923730924,Poly(rC)-binding protein 2 (Fragment) OS=Mus musculus OX=10090 GN=Pcbp2 PE=1 SV=1 
P,A0A2R8VHZ0,0.66634,0.84419,�,�,0.93993,1.28148,0.78217,0.66634,0.84419,65,65,267,0.923730924,Poly(rC)-binding protein 2 (Fragment) OS=Mus musculus OX=10090 GN=Pcbp2 PE=1 SV=1 
P,A0A087WSE4,0.76771,0.72197,NA,NA,1.0492,1.20185,0.8931,0.76771,0.72197,84,84,221,1.076251596,TAR DNA-binding protein 43 (Fragment) OS=Mus musculus OX=10090 GN=Tardbp PE=1 SV=1 
P,A0A1L1SRL1,0.73793,1.0615,NA,NA,0.80958,1.19592,0.73487,0.73793,1.0615,6,6,7,0.827208195,Calponin-1 (Fragment) OS=Mus musculus OX=10090 GN=Cnn1 PE=1 SV=1 
P,A0A286YDH1,0.76381,0.78329,NA,NA,0.93992,1.3472,0.91583,0.76381,0.78329,98,98,592,1.007912031,Heterogeneous nuclear ribonucleoprotein K (Fragment) OS=Mus musculus OX=10090 GN=Hnrnpk PE=1 SV=1 
P,P60335,0.71386,0.86834,NA,NA,0.93993,1.60171,0.8244,0.71386,0.86834,105,105,353,1.678157594,Poly(rC)-binding protein 1 OS=Mus musculus OX=10090 GN=Pcbp1 PE=1 SV=1 
P,P68040,0.63935,0.74069,NA,NA,0.96417,1.26631,0.79352,0.63935,0.74069,128,128,468,1.018116918,Receptor of activated protein C kinase 1 OS=Mus musculus OX=10090 GN=Rack1 PE=1 SV=3 
P,Q8BGJ5,0.64954,0.76842,NA,NA,0.97554,1.35828,0.83602,0.64954,0.76842,184,184,1258,1.016561322,"MCG13402, isoform CRA_a OS=Mus musculus OX=10090 GN=Ptbp1 PE=1 SV=1 "
P,S4R1I6,0.58549,0.65746,NA,NA,0.92136,1.62351,0.94152,0.58549,0.65746,216,216,781,1.186932966,"MCG2872, isoform CRA_b OS=Mus musculus OX=10090 GN=Ddx5 PE=1 SV=1 "
P,Q9CXY6,0.70824,0.78991,NA,NA,0.93679,1.23852,0.85899,0.70824,0.78991,107,107,434,0.98059921,Interleukin enhancer-binding factor 2 OS=Mus musculus OX=10090 GN=Ilf2 PE=1 SV=1 
P,E9Q8G8,0.50333,0.38834,NA,NA,1.20554,2.46251,1.03773,0.50333,0.38834,65,65,153,1.32024668,Protein disulfide-isomerase OS=Mus musculus OX=10090 GN=P4hb PE=1 SV=1 
P,A0A0G2JDA6,0.41509,0.38646,0.00685,0.08522,1.22619,1.1236,0.41709,0.41509,0.38646,4,4,16,1.232443382,Cytochrome c oxidase subunit 6C (Fragment) OS=Mus musculus OX=10090 GN=Cox6c PE=1 SV=1 
P,Q99KP6,0.64259,0.74006,NA,NA,0.95281,1.38966,0.82754,0.64259,0.74006,142,142,477,1.092837487,Pre-mRNA-processing factor 19 OS=Mus musculus OX=10090 GN=Prpf19 PE=1 SV=1 
P,P37804,0.59506,0.7357,NA,NA,0.86419,1.5131,0.74113,0.59506,0.7357,97,97,302,1.097020827,Transgelin OS=Mus musculus OX=10090 GN=Tagln PE=1 SV=3 
P,A0A1B0GSW5,1.06157,0.87341,0.09703,0.08133,0.92873,1.13479,1.06612,1.06157,0.87341,5,5,26,1.02283007,Glutamate-rich WD repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Grwd1 PE=1 SV=1 
P,P63268,0.48444,0.53827,NA,NA,0.95843,1.43706,0.80614,0.48444,0.53827,317,317,2469,1.093627576,"Actin, gamma-enteric smooth muscle OS=Mus musculus OX=10090 GN=Actg2 PE=1 SV=1 "
P,Q61990,0.71942,0.89326,NA,NA,0.93327,1.25133,0.81963,0.71942,0.89326,88,88,319,0.917390589,Poly(rC)-binding protein 2 OS=Mus musculus OX=10090 GN=Pcbp2 PE=1 SV=1 
P,D3Z2N9,0.61835,0.54695,NA,NA,0.95298,1.3528,0.97037,0.61835,0.54695,33,33,122,1.113934477,Histone deacetylase complex subunit SAP18 OS=Mus musculus OX=10090 GN=Sap18 PE=1 SV=1 
P,Q7TPV4,NA,NA,NA,NA,0.94449,1.72053,0.83683,NA,NA,764,764,3849,1.072940732,Myb-binding protein 1A OS=Mus musculus OX=10090 GN=Mybbp1a PE=1 SV=2 
P,B2M1R7,0.71542,0.89793,NA,NA,0.92655,1.25208,0.81151,0.71542,0.89793,88,88,320,0.912553954,Poly(rC)-binding protein 2 OS=Mus musculus OX=10090 GN=Pcbp2 PE=1 SV=1 
P,P61979,0.64492,0.75189,NA,NA,0.92478,1.34547,0.87081,0.64492,0.75189,267,267,1413,1.009701051,Heterogeneous nuclear ribonucleoprotein K OS=Mus musculus OX=10090 GN=Hnrnpk PE=1 SV=1 
P,E9Q616,0.69116,0.73683,NA,NA,1.00615,1.43252,0.8631,0.69116,0.73683,1386,1386,4257,1.109767581,AHNAK nucleoprotein (desmoyokin) OS=Mus musculus OX=10090 GN=Ahnak PE=1 SV=1 
P,G3UY38,0.72222,0.9467,NA,NA,0.88835,1.17386,0.81837,0.72222,0.9467,165,165,793,0.904023019,Heterogeneous nuclear ribonucleoprotein L OS=Mus musculus OX=10090 GN=Hnrnpl PE=1 SV=1 
P,D3YZ68,0.55706,0.751,NA,NA,0.87885,2.18275,0.68644,0.55706,0.751,210,210,2214,1.232577044,Elongation factor 1-alpha 1 (Fragment) OS=Mus musculus OX=10090 GN=Eef1a1 PE=1 SV=1 
P,A0A0G2JES3,0.44462,0.52813,NA,NA,1.02254,1.43972,0.75412,0.44462,0.52813,94,94,303,1.034606562,60S ribosomal protein L9 (Fragment) OS=Mus musculus OX=10090 GN=Rpl9 PE=1 SV=1 
P,A0A1L1SRW0,0.57417,0.63523,0.28844,0.26289,1.01434,1.16478,0.89225,0.57417,0.63523,29,29,144,1.012062213,40S ribosomal protein SA (Fragment) OS=Mus musculus OX=10090 GN=Rpsa PE=1 SV=1 
P,E9Q0X0,0.62751,0.77076,0.21429,0.39333,0.91234,1.36606,0.71962,0.62751,0.77076,16,16,26,1.010141827,Proteasome subunit alpha type (Fragment) OS=Mus musculus OX=10090 GN=Psma4 PE=1 SV=1 
P,D3YZU7,0.70886,0.75995,0.3122,0.24157,0.94423,1.29164,0.89718,0.70886,0.75995,51,51,118,0.995957218,Septin-2 (Fragment) OS=Mus musculus OX=10090 GN=Sept2 PE=1 SV=1 
P,P14869,0.62098,0.59901,NA,NA,1.02656,1.40916,0.95667,0.62098,0.59901,136,136,529,1.07478221,60S acidic ribosomal protein P0 OS=Mus musculus OX=10090 GN=Rplp0 PE=1 SV=3 
P,F6ZFU0,0.81366,0.75409,NA,NA,1.07562,1.39295,0.94888,0.81366,0.75409,78,78,232,1.129756247,Elongation factor 1-delta (Fragment) OS=Mus musculus OX=10090 GN=Eef1d PE=1 SV=1 
P,A0A0R4J1L2,0.81366,0.75409,�,�,1.07562,1.39295,0.94888,0.81366,0.75409,78,78,232,1.129756247,Elongation factor 1-delta OS=Mus musculus OX=10090 GN=Eef1d PE=1 SV=1 
P,D3YWH0,0.76729,0.86375,0.17236,0.08888,1.05569,1.13499,0.82822,0.76729,0.86375,27,27,63,1.009698843,Procollagen C-endopeptidase enhancer 1 (Fragment) OS=Mus musculus OX=10090 GN=Pcolce PE=1 SV=1 
P,P51410,0.44462,0.52813,NA,NA,1.02254,1.43972,0.75412,0.44462,0.52813,94,94,303,1.034606562,60S ribosomal protein L9 OS=Mus musculus OX=10090 GN=Rpl9 PE=2 SV=2 
P,D3Z3C0,0.65315,0.72307,NA,NA,0.94423,1.50692,0.8901,0.65315,0.72307,67,67,164,1.187153486,Septin-2 (Fragment) OS=Mus musculus OX=10090 GN=Sept2 PE=1 SV=1 
P,D3YYB1,0.65315,0.72307,�,�,0.94423,1.50692,0.8901,0.65315,0.72307,67,67,164,1.187153486,Septin-2 (Fragment) OS=Mus musculus OX=10090 GN=Sept2 PE=1 SV=1 
P,F6WYM0,0.65315,0.72307,�,�,0.94423,1.50692,0.8901,0.65315,0.72307,67,67,164,1.187153486,Septin-2 (Fragment) OS=Mus musculus OX=10090 GN=Sept2 PE=1 SV=2 
